Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/25/2025,7/31/2024,13003115,841,EUR,YI,"4,815.70",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,718,GBP,YA,"4,072.25",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/19/2025,7/1/2025,13003115,351,GBP,YA,"23,000.00",RE,7/19/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/1/2025,13003115,71,GBP,YI,"1,423.03",RE,7/1/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,7/23/2025,13003115,883,GBP,YA,"2,669.38",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,5/13/2025,13003115,420,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,2/26/2025,13003115,614,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/4/2025,5/26/2025,13003115,369,EUR,YI,"1,396.56",KR,7/4/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/4/2025,6/18/2025,13003115,483,EUR,YI,202.14,KR,7/4/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/22/2025,7/15/2025,13003115,252,USD,YA,"4,573.32",RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/15/2025,13003115,28,USD,YA,245.99,RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,7/15/2025,13003115,345,GBP,YA,"2,855.83",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,7/15/2025,13003115,938,GBP,YA,"2,104.27",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,7/15/2025,13003115,651,GBP,YA,"1,987.83",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,7/15/2025,13003115,651,GBP,YA,528.41,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,7/15/2025,13003115,908,GBP,YA,"2,875.00",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/15/2025,7/15/2025,13003115,972,USD,YA,"2,108.33",RE,7/15/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/15/2025,7/15/2025,13003115,4,GBP,YA,"3,401.70",RE,7/15/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,246,USD,YA,"3,066.59",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,710,USD,YI,"4,881.79",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
